1	1	3	3
1	2	9	6
1	3	25	7
1	4	52	14
1	5	92	23
1	6	149	37
1	7	0	0
			
2	1	37	12
2	2	256	76
2	3	2290	296
2	4	17461	803
2	5	125513	2347
2	6	561000	4651
2	7	0	0
			
3	1	538	304
3	2	9765	8367
3	3	1800000	84362
3	4	1800000	552777
3	5	1800000	1800000
3	6	1800000	1800000
3	7	0	0
			
4	1	16507	13104
4	2	1800000	1800000
4	3	1800000	1800000
4	4	1800000	1800000
4	5	1800000	1800000
4	6	1800000	1800000
4	7	0	0
			
5	1	1106780	928706
5	2	1800000	1800000
5	3	1800000	1800000
5	4	1800000	1800000
5	5	1800000	1800000
5	6	1800000	1800000
5	7	0	0
			
6	1	1800000	1800000
6	2	1800000	1800000
6	3	1800000	1800000
6	4	1800000	1800000
6	5	1800000	1800000
6	6	1800000	1800000
6	7	0	0
			
7	1	0	0
7	2	0	0
7	3	0	0
7	4	0	0
7	5	0	0
7	6	0	0
7	7	0	0
