1	1	42	67
1	2	48	129
1	3	43	69
1	4	42	67
1	5	39	79
1	6	74	104
1	7	0	0
			
2	1	66	119
2	2	90	112
2	3	77	124
2	4	95	182
2	5	116	169
2	6	105	179
2	7	0	0
			
3	1	139	216
3	2	440	209
3	3	371	193
3	4	471	215
3	5	644	205
3	6	535	174
3	7	0	0
			
4	1	103678	152
4	2	6598	193
4	3	13985	200
4	4	28424	184
4	5	60542	218
4	6	124819	208
4	7	0	0
			
5	1	1800000	227
5	2	16021	290
5	3	12014	252
5	4	1800000	263
5	5	1800000	303
5	6	1800000	294
5	7	0	0
			
6	1	1800000	300
6	2	1800000	351
6	3	1800000	323
6	4	1800000	340
6	5	1800000	353
6	6	1800000	334
6	7	0	0
			
7	1	0	0
7	2	0	0
7	3	0	0
7	4	0	0
7	5	0	0
7	6	0	0
7	7	0	0
