1	1	4947	2
1	2	6	2
1	3	4911	3
1	4	7	4
1	5	9	3
1	6	10	3
1	7	0	0
			
2	1	15106	12
2	2	44341	13
2	3	19733	15
2	4	29559	17
2	5	54319	22
2	6	69060	22
2	7	0	0
			
3	1	197158	123
3	2	261088	146
3	3	206904	167
3	4	241383	157
3	5	310352	120
3	6	349892	207
3	7	0	0
			
4	1	1800000	2263
4	2	1800000	2110
4	3	1800000	2904
4	4	1800000	3190
4	5	1800000	3481
4	6	1800000	1264
4	7	0	0
			
5	1	1800000	18382
5	2	1800000	19102
5	3	1800000	51180
5	4	1800000	72537
5	5	1800000	59482
5	6	1800000	68083
5	7	0	0
			
6	1	1800000	1800000
6	2	1800000	1685900
6	3	1800000	1103941
6	4	1800000	1800000
6	5	1800000	1577698
6	6	1800000	1800000
6	7	0	0
			
7	1	0	0
7	2	0	0
7	3	0	0
7	4	0	0
7	5	0	0
7	6	0	0
7	7	0	0
