1	1	508	97	211	425	313	161
1	2	479	101	244	341	339	171
1	3	479	101	254	458	343	179
1	4	490	93	325	459	348	188
1	5	504	108	360	480	383	198
1	6	503	157	405	504	368	208
1	7	0	0	0	0	0	0
							
2	1	701	240	10129	10329	453	276
2	2	739	260	12762	57409	489	301
2	3	773	228	15146	17814	490	327
2	4	825	294	16409	118560	527	353
2	5	842	314	16559	92353	519	368
2	6	843	289	35472	227095	553	397
2	7	0	0	0	0	0	0
							
3	1	1502	1379	1800000	1800000	551	414
3	2	1703	1940	1800000	1800000	650	462
3	3	2219	3060	1800000	1800000	631	503
3	4	2444	2012	1800000	1800000	710	559
3	5	2796	1893	1800000	1800000	708	592
3	6	3094	1530	1800000	1800000	768	643
3	7	0	0	0	0	0	0
							
4	1	12643	67000	1800000	1800000	684	586
4	2	20475	264000	1800000	1800000	815	666
4	3	1800000	1281000	1800000	1800000	871	738
4	4	1800000	1800000	1800000	1800000	867	815
4	5	1800000	1800000	1800000	1800000	978	887
4	6	1800000	1800000	1800000	1800000	963	965
4	7	0	0	0	0	0	0
							
5	1	1800000	1800000	1800000	1800000	912	788
5	2	1800000	1800000	1800000	1800000	1032	902
5	3	1800000	1800000	1800000	1800000	999	1004
5	4	1800000	1800000	1800000	1800000	1076	1120
5	5	1800000	1800000	1800000	1800000	1146	1226
5	6	1800000	1800000	1800000	1800000	1218	1340
5	7	0	0	0	0	0	0
							
6	1	1800000	1800000	1800000	1800000	1005	1026
6	2	1800000	1800000	1800000	1800000	1118	1191
6	3	1800000	1800000	1800000	1800000	1314	1333
6	4	1800000	1800000	1800000	1800000	1313	1501
6	5	1800000	1800000	1800000	1800000	1483	1647
6	6	1800000	1800000	1800000	1800000	1822	1836
6	7	0	0	0	0	0	0

7	1	0	0	0	0	0	0
7	2	0	0	0	0	0	0
7	3	0	0	0	0	0	0
7	4	0	0	0	0	0	0
7	5	0	0	0	0	0	0
7	6	0	0	0	0	0	0
7	7	0	0	0	0	0	0

