1	1	252	15
1	2	7	6
1	3	20	8
1	4	26	9
1	5	10	8
1	6	8	6
1	7	0	0
			
2	1	10	10
2	2	43	16
2	3	34	20
2	4	54	20
2	5	72	28
2	6	101	36
2	7	0	0
			
3	1	3	30
3	2	11	107
3	3	236	95
3	4	573	138
3	5	891	120
3	6	1340	133
3	7	0	0
			
4	1	3	5
4	2	15	270
4	3	828	1045
4	4	3389	337
4	5	15957	387
4	6	52135	483
4	7	0	0
			
5	1	4	4
5	2	387	991
5	3	58	9683
5	4	443	104770
5	5	330335	4729
5	6	1800000	5143
5	7	0	0
			
6	1	8	6
6	2	19	7278
6	3	105	104681
6	4	534	1557543
6	5	3336	1800000
6	6	1800000	82688
6	7	0	0
			
7	1	0	0
7	2	0	0
7	3	0	0
7	4	0	0
7	5	0	0
7	6	0	0
7	7	0	0
