1	1	1	1
1	2	1	0
1	3	0	0
1	4	0	0
1	5	0	0
1	6	0	1
1	7	0	0
			
2	1	2	1
2	2	6	2
2	3	8	5
2	4	13	6
2	5	28	6
2	6	41	7
2	7	0	0
			
3	1	9	4
3	2	46	10
3	3	178	15
3	4	560	24
3	5	1551	38
3	6	3665	43
3	7	0	0
			
4	1	54	26
4	2	682	67
4	3	5414	118
4	4	32367	182
4	5	133466	300
4	6	560264	749
4	7	0	0
			
5	1	544	239
5	2	19816	593
5	3	283662	1358
5	4	1800000	2922
5	5	1800000	7136
5	6	1800000	8881
5	7	0	0
			
6	1	5441	3921
6	2	468785	14022
6	3	1800000	43167
6	4	1800000	67034
6	5	1800000	129999
6	6	1800000	198415
6	7	0	0
			
7	1	0	0
7	2	0	0
7	3	0	0
7	4	0	0
7	5	0	0
7	6	0	0
7	7	0	0
