1	1	706	123	32	79	515	271
1	2	515	101	18	79	235	87
1	3	534	96	20	86	242	102
1	4	563	124	26	110	249	105
1	5	629	126	30	117	257	110
1	6	654	177	33	131	269	126
1	7	0	0	0	0	0	0
							
2	1	554	195	50	119	300	172
2	2	779	222	72	178	313	163
2	3	1030	450	98	198	319	203
2	4	1229	1022	158	332	340	217
2	5	1594	985	224	577	356	264
2	6	2181	1339	211	654	361	314
2	7	0	0	0	0	0	0
							
3	1	735	296	176	250	324	262
3	2	1298	685	421	980	341	295
3	3	2740	2378	885	809	366	740
3	4	8464	54240	1928	5079	384	1581
3	5	27943	1480000	3321	7413	411	3725
3	6	1800000	1800000	26111	9656	775	15268
3	7	0	0	0	0	0	0
							
4	1	1833	1299	3067	906	598	1572
4	2	9941	2320	13444	2194	681	2771
4	3	1800000	1800000	222712	7483	1423	18051
4	4	1800000	1800000	348598	33803	6433	56812
4	5	1800000	1800000	1004214	48320	10474	202199
4	6	1800000	1800000	1780335	91974	70504	616479
4	7	0	0	0	0	0	0
							
5	1	1561	1550	34014	2125	611	5572
5	2	47474	151000	628237	22453	3421	27457
5	3	1800000	1800000	1800000	40516	3463	332257
5	4	1800000	1800000	1800000	721375	64530	538252
5	5	1800000	1800000	1800000	543722	71529	526796
5	6	1800000	1800000	1800000	571578	63571	520939
5	7	0	0	0	0	0	0
							
6	1	3049	1131	210285	9457	5405	42278
6	2	1800000	1800000	1800000	605107	89448	411131
6	3	1800000	1800000	1800000	276101	145520	547435
6	4	1800000	1800000	1800000	1217801	146549	547680
6	5	1800000	1800000	1800000	1564141	120606	544774
6	6	1800000	1800000	1800000	1800000	123719	543156
6	7	0	0	0	0	0	0
							
7	1	0	0	0	0	0	0
7	2	0	0	0	0	0	0
7	3	0	0	0	0	0	0
7	4	0	0	0	0	0	0
7	5	0	0	0	0	0	0
7	6	0	0	0	0	0	0
7	7	0	0	0	0	0	0
