1	1	1	0
1	2	1	0
1	3	1	1
1	4	0	1
1	5	0	1
1	6	1	1
1	7	0	0
			
2	1	9	4
2	2	6	3
2	3	7	2
2	4	8	3
2	5	9	4
2	6	11	3
2	7	0	0
			
3	1	16	5
3	2	77	6
3	3	100	5
3	4	128	6
3	5	181	7
3	6	226	6
3	7	0	0
			
4	1	621	10
4	2	2675	10
4	3	6598	10
4	4	13334	11
4	5	14272	13
4	6	25582	13
4	7	0	0
			
5	1	97082	19
5	2	361596	21
5	3	981928	22
5	4	1800000	21
5	5	1800000	24
5	6	1800000	25
5	7	0	0
			
6	1	1800000	43
6	2	1800000	40
6	3	1800000	44
6	4	1800000	42
6	5	1800000	45
6	6	1800000	55
6	7	0	0
			
7	1	0	0
7	2	0	0
7	3	0	0
7	4	0	0
7	5	0	0
7	6	0	0
7	7	0	0
