1	1	61	100
1	2	56	93
1	3	82	85
1	4	65	88
1	5	68	82
1	6	77	74
1	7	0	0
			
2	1	72	83
2	2	70	77
2	3	67	86
2	4	67	78
2	5	88	75
2	6	71	86
2	7	0	0
			
3	1	78	94
3	2	86	92
3	3	78	114
3	4	77	86
3	5	100	85
3	6	78	92
3	7	0	0
			
4	1	90	105
4	2	100	102
4	3	113	105
4	4	129	111
4	5	111	108
4	6	123	108
4	7	0	0
			
5	1	91	109
5	2	133	159
5	3	150	123
5	4	148	114
5	5	138	112
5	6	164	133
5	7	0	0
			
6	1	131	136
6	2	130	137
6	3	181	135
6	4	185	129
6	5	164	143
6	6	174	130
6	7	0	0
			
7	1	0	0
7	2	0	0
7	3	0	0
7	4	0	0
7	5	0	0
7	6	0	0
7	7	0	0
