1	1	478	110	29	71	316	111
1	2	498	221	40	92	307	124
1	3	501	280	56	113	345	138
1	4	498	351	75	142	329	149
1	5	516	164	114	168	347	159
1	6	499	243	172	206	377	172
1	7	0	0	0	0	0	0
							
2	1	513	260	94	275	479	601
2	2	552	256	1366	687	596	268
2	3	523	459	3588	2202	629	322
2	4	549	422	14379	6340	680	378
2	5	580	561	57579	19591	789	441
2	6	587	2456	487625	111610	785	494
2	7	0	0	0	0	0	0
							
3	1	546	476	314	1574	592	1451
3	2	614	787	6464	8318	1132	6482
3	3	767	824	59547	47661	1222	1232
3	4	871	1871	429295	189145	1469	1542
3	5	971	5095	1800000	958737	1524	1878
3	6	1034	1800000	1800000	1800000	1703	2254
3	7	0	0	0	0	0	0
							
4	1	748	486	5248	6897	900	4335
4	2	1011	1056	308149	67423	2199	30640
4	3	1263	1346	1800000	986227	7532	398384
4	4	1555	1944	1800000	1800000	6385	24440
4	5	20817	14800	1800000	1800000	8738	30029
4	6	1800000	1800000	1800000	1800000	11147	39627
4	7	0	0	0	0	0	0
							
5	1	1171	1076	45027	43526	1476	22205
5	2	5615	2284	1800000	1342410	8225	274087
5	3	12913	8711	1800000	1800000	62930	1800000
5	4	65594	42535	1800000	1800000	742764	1800000
5	5	1800000	186000	1800000	1800000	148154	1800000
5	6	1800000	1800000	1800000	1800000	161583	1800000
5	7	0	0	0	0	0	0
							
6	1	11580	5733	186936	239890	2523	171258
6	2	45086	23306	1800000	1800000	39452	1800000
6	3	220542	115000	1800000	1800000	488396	1800000
6	4	1800000	1800000	1800000	1800000	1800000	1800000
6	5	1800000	1800000	1800000	1800000	1800000	1800000
6	6	1800000	1800000	1800000	1800000	1800000	1800000
6	7	0	0	0	0	0	0
